"uf","ano","dcl","pop","pib_prc","rcl","rcla","dtp","percentual_dtp_rcla"
"MA",2023,4433520205.58,7153262,149227195000,23120999553.98,23035610845.58,8424324260.15,36.57
"MA",2024,893355845.36,6800605,0,29586751705.73,29521762934.73,9163249776.52,31.04
"MG",2019,122689225818.41,21040662,651872684000,64068169194.3,64068169194.3,37427634895.84,58.42
"MG",2020,133034157590.97,21168791,682786116000,70585665374.16,70579703124.16,38063087517.5,53.93
"MG",2021,139627969996.34,21292666,857593214000,82453583803.79,82432561595.79,40125369667.92,48.68
"MG",2022,143460121619.17,21411923,906730670000,91405979912.77,91403876912.77,44272473951.82,48.44
"MG",2023,154911175844.7,21411923,971977551000,92079439352.23,91978749210.59,47245316457.13,51.37
"MG",2024,168246208541.47,20732660,0,103495630620.38,103465726489.95,50492145171.78,48.8
"MS",2019,7336176672.87,2748023,106943246000,12012249489.57,12005913996.67,5652507538.44,47.08
"MS",2020,5743560601.88,2778986,122627726000,14070824317.81,14069642720.69,5890588166.68,41.87
"MS",2021,3383342191.6,2809394,142203766000,15816038193.47,15797113944.47,6416151897.88,40.62
"MS",2022,4065562381.86,2839188,166407329000,18366590887.86,18352650109.3,7180976036.51,39.13
"MS",2023,3122318759,2839188,184402118000,19756920699.77,19682982860.42,8786078548.49,44.64
"MS",2024,5025008538.69,2833742,0,20382690674.77,20253127266.59,9153718882.94,45.2
"MT",2019,4647164634.6,3441998,142122028000,17154484294.75,17145216862.86,8979892556.64,52.38
"MT",2020,877424041.04,3484466,178649564000,20481972452.51,20413941006.65,9031634534.36,44.24
"MT",2021,-4333588005.47,3526220,233390203000,24604584741.02,24485908706.81,9224562866.25,37.67
"MT",2022,-7186553063.55,3567234,255527297000,29374848838.94,29286462391.07,10616483478.82,36.25
"MT",2023,-6127242617.24,3567234,273008586000,30940901654.07,30863753729.07,11573079331.08,37.5
"MT",2024,-4768428528.31,3784239,0,33003632656.2,32886763926.2,12425266338.18,37.78
"PA",2019,1628941745.09,8513497,178376984000,21690571870.28,21684401096.28,9436453715.76,43.52
"PA",2020,526796068.22,8602865,215935604000,24196556795.52,23964854990.52,9271740630.16,38.69
"PA",2021,445306848.81,8690745,262904979000,27009202196.32,26923897007.32,10847093275.72,40.29
"PA",2022,-257306412.73,8777124,236141874000,34296177567.37,34198301843.2,13311956389.47,38.93
"PA",2023,1644663922.03,8777124,254546511000,36266172141.21,36069091339.21,15235769121.25,42.24
"PA",2024,2952732846.32,8442962,0,41204940048.11,40972569817.11,16615520322.16,40.55
"PB",2019,2382452799,3996496,67986074000,10245829093.49,10245829093.49,5006263894.97,48.86
"PB",2020,1233663646.5,4018127,70292034000,11287852748.44,11274263728.44,5777255807.44,51.24
"PB",2021,-400261759.07,4039277,77470331000,13037174793.71,13032451564.71,6175941926.29,47.39
"PB",2022,-974981251.99,4059905,86094173000,15758982577.21,15755878027.21,7142919041.73,45.33
"PB",2023,-195385655.48,4059905,96963174000,16773627778.96,16766613327.76,8028664046.8,47.88
"PB",2024,-448693341.72,4030961,0,18928080527.4,18892082702.4,9119064123.72,48.27
"PE",2019,13257592921.29,9496294,197853378000,25340299465.22,25335728691.22,11884823951.74,46.91
"PE",2020,13081473274.29,9557071,193307317000,27238978598.44,27166953972.44,12443181326.07,45.8
"PE",2021,11325610707.1,9616621,220813522000,31342387716.05,31335146156.05,12858764456.35,41.04
"PE",2022,12970167751.7,9674793,245828017000,36722105248.87,36697903274.87,15792078470.14,43.03
"PE",2023,12069013825.15,9674793,270474919000,37830131985.44,37789672693.56,16840395801.99,44.56
"PE",2024,13166810527.22,9051113,0,43811252907.17,43773481815.45,17749249738.52,40.55
"PI",2019,5181842289.41,3264531,52780785000,9470871217.32,9465261443.32,4554778009.3,48.12
"PI",2020,4367120256.94,3273227,56391257000,11769739826.7,11729771030.71,4608594404.55,39.29
"PI",2021,5369389881.72,3281480,64028303000,11455231445.84,11411172116.84,4596148040.39,40.28
"PI",2022,6891399275.12,3289290,72834504000,13517450096.11,13495207706.16,5702169274.96,42.25
"PI",2023,7236756157.34,3289290,80916856000,15380829481.76,15352560354.63,6163781348,40.15
"PI",2024,10752874948.48,3270174,0,17181161335.79,17101669200.12,7124416506.14,41.66
"PR",2019,17020942622.37,11348937,466377036000,38935917232.07,38912964838.07,17582329633.05,45.18
"PR",2020,14924881202.63,11433957,487930594000,40251112108.76,40200382037.76,18394551196.25,45.76
"PR",2021,10649697458.29,11516840,549973062000,47834157072.78,47808298301.78,20170041254.11,42.19
"PR",2022,5930740824.7,11597484,614610848000,55765095408.09,55743548179.09,22678684054.5,40.68
"PR",2023,-2871059058.91,11597484,670919162000,59565155117.88,59507658940.88,25727268595.51,43.23
"PR",2024,-3353900879.9,11835379,0,66212591622.01,66084616647.01,28222023933.46,42.71
"RJ",2019,165205177757,17159960,779927917000,58566003981,58566003981,23019690203.5,39.31
"RJ",2020,189818780213.94,17264943,753823711000,59498087016.55,59498087016.55,27682713625.37,46.53
"RJ",2021,163820921059.24,17366189,949300770000,82455459589.61,82455459589.61,33465263929.5,40.59
"RJ",2022,150831074231.2,17463349,1153512155000,89631905200.18,89631905200.18,41082014496.92,45.83
"RJ",2023,166127083116.78,17463349,1172871443000,88174564730.41,88174564730.41,41853220234.14,47.47
"RJ",2024,195944554023.44,16615526,0,92764348281.93,92709068228.22,43354236120.93,46.76
"RN",2019,3253299160.95,3479010,71336780000,9557365419.06,9556715419.06,5787261756.13,60.56
"RN",2020,3996480721.14,3506853,71577107000,10187020031.22,10161012844.42,5569454771.74,54.81
"RN",2021,4225103797.82,3534165,80180733000,12245466333.85,12199921434.83,6657041504.64,54.57
"RN",2022,4289752898.32,3560903,93819291000,14259524062.3,14229797401.95,7594285988.76,53.37
"RN",2023,4101520827.02,3560903,101740275000,16215892205.45,16182632436.45,9213643003.11,56.94
"RN",2024,6932442046.08,3303953,0,17259892416.73,17233040024.58,9919747911.85,57.56
"RO",2019,2161693659.31,1757589,47091336000,7743045299.48,7742045299.48,3086605530.74,39.87
"RO",2020,1781041360.98,1777225,51598741000,8723780512,8688688787,3264199227.01,37.57
"RO",2021,-510393984.68,1796460,58170096000,10018331562.62,10005011323.62,3678652389.42,36.77
"RO",2022,568748060.64,1815278,66795454000,11599606062.92,11597477035.5,4551551529.1,39.25
"RO",2023,670219995.6,1815278,76456179000,12547484249.81,12525048292.81,4788916183.08,38.23
"RO",2024,-190484106.29,1616379,0,14214733174.14,14190334424.14,5308221759.41,37.41
