ANO_ELEICAO,NR_TURNO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,DS_SIT_TOT_TURNO
2014,2,AC,AC,ACRE,3,GOVERNADOR,13,SEBASTIÃO AFONSO VIANA MACEDO NEVES,TIÃO VIANA,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,Frente Popular do Acre,PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PATRIOTA / PPL / PC do B / PROS / PTB,ELEITO
2014,1,AL,AL,ALAGOAS,3,GOVERNADOR,15,JOSE RENAN VASCONCELOS CALHEIROS FILHO,RENAN FILHO,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,COM O POVO PRA ALAGOAS MUDAR,PV / PT do B / PMDB / PROS / PC do B / PSC / PHS / PTB / PSD / PDT / PT,ELEITO
2014,2,AM,AM,AMAZONAS,3,GOVERNADOR,90,JOSÉ MELO DE OLIVEIRA,JOSÉ MELO,COLIGAÇÃO,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,NA,NA,NA,Fazendo Mais Por Nossa Gente,PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PATRIOTA / PSD / SD / PT do B,ELEITO
2014,2,AM,AM,AMAZONAS,3,GOVERNADOR,12,AMAZONINO ARMANDO MENDES,AMAZONINO MENDES,COLIGAÇÃO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,NA,NA,NA,MOVIMENTO PELA RECONSTRUÇÃO DO AMAZONAS,PDT / DEM / PV / PSDB / PSD / PRB / PSC,ELEITO
2014,2,AP,AP,AMAPÁ,3,GOVERNADOR,12,ANTÔNIO WALDEZ GÓES DA SILVA,WALDEZ,COLIGAÇÃO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,NA,NA,NA,A FORÇA DO POVO,PP / PDT / PMDB,ELEITO
2014,1,BA,BA,BAHIA,3,GOVERNADOR,13,RUI COSTA DOS SANTOS,RUI COSTA,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,PRA BAHIA MUDAR MAIS,PT / PP / PSD / PDT / PR / PC do B / PTB / PMN,ELEITO
2014,2,CE,CE,CEARÁ,3,GOVERNADOR,13,CAMILO SOBREIRA DE SANTANA,CAMILO,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,PARA O CEARA SEGUIR MUDANDO,PRB / PP / PDT / PT / PTB / PSL / PRTB / PHS / PMN / PTC / PV / PATRIOTA / PPL / PSD / PC do B / PT do B / SD / PROS,ELEITO
2014,2,DF,DF,DISTRITO FEDERAL,3,GOVERNADOR,40,RODRIGO SOBRAL ROLLEMBERG,ROLLEMBERG,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,NA,NA,NA,SOMOS TODOS BRASÍLIA,PSB / SD / PDT / PSD,ELEITO
2014,1,ES,ES,ESPÍRITO SANTO,3,GOVERNADOR,15,PAULO CESAR HARTUNG GOMES,PAULO HARTUNG,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,O ESPIRITO SANTO PODE MUITO MAIS,PMDB / PSDB / DEM / SD / PATRIOTA / PROS / PRP,ELEITO
2014,1,GO,GO,GOIÁS,3,GOVERNADOR,45,MARCONI FERREIRA PERILLO JUNIOR,MARCONI PERILLO,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,Garantia de um Futuro Melhor para Goiás,PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PATRIOTA / PSD / PT do B / PROS,ELEITO
