ANO_ELEICAO,NR_TURNO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,DS_SIT_TOT_TURNO
2014,2,GO,GO,GOIÁS,3,GOVERNADOR,45,MARCONI FERREIRA PERILLO JUNIOR,MARCONI PERILLO,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,Garantia de um Futuro Melhor para Goiás,PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PATRIOTA / PSD / PT do B / PROS,ELEITO
2014,1,MA,MA,MARANHÃO,3,GOVERNADOR,65,FLAVIO DINO DE CASTRO E COSTA,FLAVIO DINO,COLIGAÇÃO,65,PC do B,PARTIDO COMUNISTA DO BRASIL,NA,NA,NA,TODOS PELO MARANHÃO,PP / SD / PROS / PSDB / PC do B / PSB / PDT / PTC / PPS,ELEITO
2014,1,MG,MG,MINAS GERAIS,3,GOVERNADOR,13,FERNANDO DAMATA PIMENTEL,FERNANDO PIMENTEL,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,MINAS PRA VOCÊ,PT / PMDB / PC do B / PROS / PRB,ELEITO
2014,2,MS,MS,MATO GROSSO DO SUL,3,GOVERNADOR,45,REINALDO AZAMBUJA SILVA,REINALDO AZAMBUJA,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,NOVO TEMPO,PSDB / DEM / PSD / SD / PPS / PMN,ELEITO
2014,1,MT,MT,MATO GROSSO,3,GOVERNADOR,12,JOSÉ PEDRO GONÇALVES TAQUES,PEDRO TAQUES,COLIGAÇÃO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,NA,NA,NA,CORAGEM E ATITUDE PRA MUDAR,PDT / PP / DEM / PSDB / PSB / PPS / PV / PTB / PSDC / PSC / PRP / PSL / PRB,ELEITO
2014,2,PA,PA,PARÁ,3,GOVERNADOR,45,SIMÃO ROBISON OLIVEIRA JATENE,SIMÃO JATENE,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,JUNTOS COM O POVO,PSDB / PSD / PSB / PP / SD / PRB / PSC / PTB / PPS / PATRIOTA / PMN / PTC / PSDC / PT do B / PRP,ELEITO
2014,2,PB,PB,PARAÍBA,3,GOVERNADOR,40,RICARDO VIEIRA COUTINHO,RICARDO COUTINHO,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,NA,NA,NA,A FORÇA DO TRABALHO,PSB / PT / PDT / DEM / PRTB / PRP / PV / PSL / PC do B / PHS / PPL,ELEITO
2014,1,PE,PE,PERNAMBUCO,3,GOVERNADOR,40,PAULO HENRIQUE SARAIVA CÂMARA,PAULO CÂMARA,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,NA,NA,NA,Frente Popular de Pernambuco,PMDB / PC do B / PSB / PTC / PRP / PV / PTN / PR / PSD / PPS / PSDB / SD / PPL / DEM / PHS / PSDC / PROS / PP / PATRIOTA / PRTB / PSL,ELEITO
2014,1,PI,PI,PIAUÍ,3,GOVERNADOR,13,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,WELLINGTON DIAS,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,A VITÓRIA COM A FORÇA DO POVO,PT / PP / PTB / PHS / PR / PROS / PRP / SD,ELEITO
2014,1,PR,PR,PARANÁ,3,GOVERNADOR,45,CARLOS ALBERTO RICHA,BETO RICHA,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,Todos Pelo Paraná,PSDB / PROS / DEM / PSB / PSD / PTB / PP / PPS / PSC / PR / SD / PSL / PSDC / PMN / PHS / PATRIOTA / PT do B,ELEITO
2014,2,RJ,RJ,RIO DE JANEIRO,3,GOVERNADOR,15,LUIZ FERNANDO DE SOUZA,LUIZ FERNANDO PEZÃO,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,O RIO EM 1. LUGAR,PMDB / PP / PSC / PTB / PSL / PPS / PTN / DEM / PSDC / PHS / PMN / PTC / PRP / PSDB / PATRIOTA / PSD / SD,ELEITO
2014,2,RN,RN,RIO GRANDE DO NORTE,3,GOVERNADOR,55,ROBINSON MESQUITA DE FARIA,ROBINSON FARIA,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,NA,NA,NA,LIDERADOS PELO POVO,PSD / PT / PC do B / PT do B / PP / PATRIOTA / PRTB / PTC,ELEITO
2014,2,RO,RO,RONDÔNIA,3,GOVERNADOR,15,CONFUCIO AIRES MOURA,CONFUCIO MOURA,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,RONDONIA NO CAMINHO CERTO,PMDB / PDT / PSB / PTN / PTB / PC do B / PRTB / PSL / PRP,ELEITO
2014,2,RR,RR,RORAIMA,3,GOVERNADOR,11,MARIA SUELY SILVA CAMPOS,SUELY CAMPOS,COLIGAÇÃO,11,PP,PARTIDO PROGRESSISTA,NA,NA,NA, SALVE RORAIMA ,PP / PTB / DEM,ELEITO
2014,2,RS,RS,RIO GRANDE DO SUL,3,GOVERNADOR,15,JOSÉ IVO SARTORI,JOSÉ IVO SARTORI,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,O NOVO CAMINHO PARA O RIO GRANDE,PMDB / PSD / PPS / PSB / PHS / PT do B / PSL / PSDC,ELEITO
2014,1,SC,SC,SANTA CATARINA,3,GOVERNADOR,55,JOÃO RAIMUNDO COLOMBO,RAIMUNDO COLOMBO,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,NA,NA,NA,COLIGAÇÃO SANTA CATARINA EM PRIMEIRO LUGAR,PSD / PRB / PMDB / PR / PTB / PSC / PSDC / PROS / PV / PC do B / PDT / DEM,ELEITO
2014,1,SE,SE,SERGIPE,3,GOVERNADOR,15,JACKSON BARRETO DE LIMA,JACKSON BARRETO,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,AGORA É O POVO,PT / PSD / PC do B / PRTB / PDT / PRP / PROS / PSDC / PMDB / PSB / PRB,ELEITO
2014,1,SP,SP,SÃO PAULO,3,GOVERNADOR,45,GERALDO JOSE RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,Aqui é São Paulo,PSDB / DEM / PATRIOTA / PMN / PT do B / PTC / PTN / SD / PPS / PRB / PSB / PSC / PSDC / PSL,ELEITO
2014,1,TO,TO,TOCANTINS,3,GOVERNADOR,15,MARCELO DE CARVALHO MIRANDA,MARCELO MIRANDA,COLIGAÇÃO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,A EXPERIENCIA FAZ A MUDANÇA,PMDB / PT / PSD / PV,ELEITO
2014,2,TO,TO,TOCANTINS,3,GOVERNADOR,31,MAURO CARLESSE,MAURO CARLESSE,COLIGAÇÃO,31,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,NA,NA,NA,GOVERNO DE ATITUDE,PHS / DEM / PTC / PRB / PMN / PP / PPS,ELEITO
