ANO_ELEICAO,NR_TURNO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,DS_SIT_TOT_TURNO
2022,2,PB,PB,PARAÍBA,3,GOVERNADOR,40,JOÃO AZEVEDO LINS FILHO,JOÃO,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO,#NULO,#NULO,JUNTOS PELA PARAÍBA,PSB / AGIR / PP / AVANTE / PMN / PSD / SOLIDARIEDADE / PODE / REPUBLICANOS / PATRIOTA / PROS,ELEITO
2022,2,PE,PE,PERNAMBUCO,3,GOVERNADOR,45,RAQUEL TEIXEIRA LYRA LUCENA,RAQUEL LYRA,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,Pernambuco Quer Mudar,Federação PSDB Cidadania(PSDB/CIDADANIA) / PRTB,ELEITO
2022,1,PI,PI,PIAUÍ,3,GOVERNADOR,13,RAFAEL TAJRA FONTELES,RAFAEL FONTELES,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,A FORÇA DO POVO,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / MDB / PSD / SOLIDARIEDADE / PSB / PROS / AGIR,ELEITO
2022,1,PR,PR,PARANÁ,3,GOVERNADOR,55,CARLOS ROBERTO MASSA JUNIOR,CARLOS MASSA RATINHO JUNIOR,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,#NULO,#NULO,#NULO,A MUDANÇA NÃO PARA. PRA FRENTE PARANÁ,REPUBLICANOS / MDB / SOLIDARIEDADE / PL / PSD / UNIÃO / PMB / PP / AGIR / PROS / PTB,ELEITO
2022,1,RJ,RJ,RIO DE JANEIRO,3,GOVERNADOR,22,CLÁUDIO BOMFIM DE CASTRO E SILVA,CLÁUDIO CASTRO,COLIGAÇÃO,22,PL,PARTIDO LIBERAL,#NULO,#NULO,#NULO,RIO UNIDO E MAIS FORTE,AVANTE / DC / MDB / PL / PMN / PODE / PP / PROS / PRTB / PSC / PTB / REPUBLICANOS / SOLIDARIEDADE / UNIÃO,ELEITO
2022,1,RN,RN,RIO GRANDE DO NORTE,3,GOVERNADOR,13,MARIA DE FATIMA BEZERRA,FATIMA BEZERRA,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,O MELHOR VAI COMEÇAR!,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PDT / MDB / PROS / REPUBLICANOS,ELEITO
2022,2,RO,RO,RONDÔNIA,3,GOVERNADOR,44,MARCOS JOSÉ ROCHA DOS SANTOS,CORONEL MARCOS ROCHA,COLIGAÇÃO,44,UNIÃO,UNIÃO BRASIL,#NULO,#NULO,#NULO,"COMPROMISSO, TRABALHO E FÉ",UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA),ELEITO
2022,1,RR,RR,RORAIMA,3,GOVERNADOR,11,ANTONIO OLIVERIO GARCIA DE ALMEIDA,ANTONIO DENARIUM,COLIGAÇÃO,11,PP,PROGRESSISTAS,#NULO,#NULO,#NULO,RORAIMA TRABALHANDO E DEUS ABENÇOANDO,PSD / PP / PRTB / REPUBLICANOS / UNIÃO / Federação PSDB Cidadania(PSDB/CIDADANIA),ELEITO
2022,2,RS,RS,RIO GRANDE DO SUL,3,GOVERNADOR,45,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,EDUARDO LEITE,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,Um só Rio Grande,Federação PSDB Cidadania(PSDB/CIDADANIA) / MDB / PSD / PODE / UNIÃO,ELEITO
2022,2,SC,SC,SANTA CATARINA,3,GOVERNADOR,22,JORGINHO DOS SANTOS MELLO,JORGINHO MELLO,PARTIDO ISOLADO,22,PL,PARTIDO LIBERAL,#NULO,#NULO,#NULO,PARTIDO ISOLADO,PL,ELEITO
2022,2,SE,SE,SERGIPE,3,GOVERNADOR,55,FÁBIO CRUZ MITIDIERI,FÁBIO,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,#NULO,#NULO,#NULO,NOVO TEMPO PRA SERGIPE,PDT / PSC / UNIÃO / REPUBLICANOS / PP / PSD / AVANTE,ELEITO
2022,2,SP,SP,SÃO PAULO,3,GOVERNADOR,10,TARCISIO GOMES DE FREITAS,TARCÍSIO,COLIGAÇÃO,10,REPUBLICANOS,REPUBLICANOS,#NULO,#NULO,#NULO,SÃO PAULO PODE MAIS,REPUBLICANOS / PL / PSD / PTB / PSC / PMN,ELEITO
2022,1,TO,TO,TOCANTINS,3,GOVERNADOR,10,WANDERLEI BARBOSA CASTRO,WANDERLEI BARBOSA,COLIGAÇÃO,10,REPUBLICANOS,REPUBLICANOS,#NULO,#NULO,#NULO,União pelo Tocantins,Federação PSDB Cidadania(PSDB/CIDADANIA) / UNIÃO / PDT / SOLIDARIEDADE / PTB / REPUBLICANOS / PSC,ELEITO
