ANO_ELEICAO,NR_TURNO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,DS_SIT_TOT_TURNO
2018,1,AC,AC,ACRE,3,GOVERNADOR,11,GLADSON DE LIMA CAMELI,GLADSON CAMELI,COLIGAÇÃO,11,PP,PROGRESSISTAS,NA,NA,NA,MUDANÇA E COMPETÊNCIA,PP / MDB / PSDB / DEM / PSD / PTB / PMN / SOLIDARIEDADE / PTC / PR / PPS,ELEITO
2018,1,AL,AL,ALAGOAS,3,GOVERNADOR,15,JOSE RENAN VASCONCELOS CALHEIROS FILHO,RENAN FILHO,COLIGAÇÃO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,Avança Mais Alagoas,MDB / PODE / PPS / PDT / PR / PTB / PHS / PT / PV / PRP / PRTB / PSD / DC / PC do B / AVANTE / PMN / SOLIDARIEDADE,ELEITO
2018,2,AM,AM,AMAZONAS,3,GOVERNADOR,20,WILSON MIRANDA LIMA,WILSON LIMA,COLIGAÇÃO,20,PSC,PARTIDO SOCIAL CRISTÃO,NA,NA,NA,TRANSFORMAÇÃO POR UM NOVO AMAZONAS,PSC / PRTB / REDE,ELEITO
2018,2,AP,AP,AMAPÁ,3,GOVERNADOR,12,ANTONIO WALDEZ GÓES DA SILVA,WALDEZ,COLIGAÇÃO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,NA,NA,NA,COM A FORÇA DO POVO POR MAIS CONQUISTAS,PDT / PROS / PTB / MDB / DC / PRB / PRP / PC do B / PMB,ELEITO
2018,1,BA,BA,BAHIA,3,GOVERNADOR,13,RUI COSTA DOS SANTOS,RUI COSTA,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,MAIS TRABALHO POR TODA A BAHIA,PT / PP / PDT / PSD / PSB / PC do B / PR / PMB / PRP / PODE / AVANTE / PMN / PROS / PTC,ELEITO
2018,1,CE,CE,CEARÁ,3,GOVERNADOR,13,CAMILO SOBREIRA DE SANTANA,CAMILO,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,POR UM CEARA CADA VEZ MAIS FORTE,PT / PDT / PP / PSB / PR / PTB / DEM / PC do B / PPS / PRP / PV / PMN / PPL / PATRIOTA / PRTB / PMB,ELEITO
2018,2,DF,DF,DISTRITO FEDERAL,3,GOVERNADOR,15,IBANEIS ROCHA BARROS JUNIOR,IBANEIS,COLIGAÇÃO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,PRA FAZER A DIFERENÇA,MDB / PP / AVANTE / PSL / PPL,ELEITO
2018,1,ES,ES,ESPÍRITO SANTO,3,GOVERNADOR,40,JOSE RENATO CASAGRANDE,RENATO CASAGRANDE,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,NA,NA,NA,ESPIRITO SANTO MAIS IGUAL,PSB / PHS / PROS / PV / PSC / AVANTE / PTC / PPS / PSDB / DEM / PDT / PP / PC do B / PPL / DC / SOLIDARIEDADE / PRP / PSD,ELEITO
2018,1,GO,GO,GOIÁS,3,GOVERNADOR,25,RONALDO RAMOS CAIADO,RONALDO CAIADO,COLIGAÇÃO,25,DEM,DEMOCRATAS,NA,NA,NA,A MUDANÇA É AGORA,DEM / PRP / PROS / PMN / PMB / PSC / DC / PSL / PODE / PTC / PRTB / PDT,ELEITO
2018,1,MA,MA,MARANHÃO,3,GOVERNADOR,65,FLÁVIO DINO DE CASTRO E COSTA,FLÁVIO DINO,COLIGAÇÃO,65,PC do B,PARTIDO COMUNISTA DO BRASIL,NA,NA,NA,TODOS PELO MARANHÃO,PC do B / PRB / PDT / PPS / DEM / PSB / PR / PP / PROS / PT / PTB / PATRIOTA / PTC / SOLIDARIEDADE / PPL / AVANTE,ELEITO
2018,2,MG,MG,MINAS GERAIS,3,GOVERNADOR,30,ROMEU ZEMA NETO,ROMEU ZEMA,PARTIDO ISOLADO,30,NOVO,PARTIDO NOVO,NA,NA,NA,PARTIDO ISOLADO,NOVO,ELEITO
2018,2,MS,MS,MATO GROSSO DO SUL,3,GOVERNADOR,45,REINALDO AZAMBUJA SILVA,REINALDO AZAMBUJA,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,AVANÇAR COM RESPONSABILIDADE,PMN / DEM / PP / PSB / PTB / PSDB / PATRIOTA / PSD / PPS / AVANTE / SOLIDARIEDADE / PROS,ELEITO
2018,1,MT,MT,MATO GROSSO,3,GOVERNADOR,25,MAURO MENDES FERREIRA,MAURO MENDES,COLIGAÇÃO,25,DEM,DEMOCRATAS,NA,NA,NA,PRA MUDAR MATO GROSSO,DEM / PSD / PDT / PSC / MDB / PMB / PHS / PTC,ELEITO
2018,2,PA,PA,PARÁ,3,GOVERNADOR,15,HELDER ZAHLUTH BARBALHO,HELDER,COLIGAÇÃO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,NA,NA,NA,O PARÁ DAQUI PRA FRENTE,MDB / PP / PRB / PR / PSC / PTB / PHS / PMB / PODE / DC / PTC / PATRIOTA / PSD / AVANTE / PSL / PROS,ELEITO
2018,1,PB,PB,PARAÍBA,3,GOVERNADOR,40,JOÃO AZEVEDO LINS FILHO,JOÃO,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,NA,NA,NA,A FORÇA DO TRABALHO,PSB / PDT / PT / DEM / PTB / PRP / PODE / PRB / PC do B / AVANTE / PPS / REDE / PMN / PROS,ELEITO
2018,1,PE,PE,PERNAMBUCO,3,GOVERNADOR,40,PAULO HENRIQUE SARAIVA CÂMARA,PAULO CÂMARA,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,NA,NA,NA,FRENTE POPULAR DE PERNAMBUCO,PSB / PC do B / PT / MDB / PP / PR / PMN / PTC / PRP / PATRIOTA / PSD / PPL / SOLIDARIEDADE,ELEITO
