ANO_ELEICAO,NR_TURNO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,DS_SIT_TOT_TURNO
2018,1,PI,PI,PIAUÍ,3,GOVERNADOR,13,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,WELLINGTON DIAS,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,A Vitória Com a Força do Povo ,PT / MDB / PP / PR / PDT / PSD / PC do B / PTB / PRTB,ELEITO
2018,1,PR,PR,PARANÁ,3,GOVERNADOR,55,CARLOS ROBERTO MASSA JUNIOR,RATINHO JUNIOR,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,NA,NA,NA,PARANA INOVADOR,PSD / PSC / PV / PR / PRB / PHS / PPS / PODE / AVANTE,ELEITO
2018,2,RJ,RJ,RIO DE JANEIRO,3,GOVERNADOR,20,WILSON JOSÉ WITZEL,WILSON WITZEL,COLIGAÇÃO,20,PSC,PARTIDO SOCIAL CRISTÃO,NA,NA,NA,"MAIS ORDEM, MAIS PROGRESSO",PSC / PROS,ELEITO
2018,2,RN,RN,RIO GRANDE DO NORTE,3,GOVERNADOR,13,MARIA DE FATIMA BEZERRA,FATIMA BEZERRA,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,NA,NA,NA,DO LADO CERTO,PT / PC do B / PHS,ELEITO
2018,2,RO,RO,RONDÔNIA,3,GOVERNADOR,17,MARCOS JOSE ROCHA DOS SANTOS,CORONEL MARCOS ROCHA,PARTIDO ISOLADO,17,PSL,PARTIDO SOCIAL LIBERAL,NA,NA,NA,PARTIDO ISOLADO,PSL,ELEITO
2018,2,RR,RR,RORAIMA,3,GOVERNADOR,17,ANTONIO OLIVERIO GARCIA DE ALMEIDA,ANTONIO DENARIUM,COLIGAÇÃO,17,PSL,PARTIDO SOCIAL LIBERAL,NA,NA,NA,AGORA É RORAIMA COM TUDO,PSL / PRB / PTC / PRP / PROS / PSC / PPL / PATRIOTA,ELEITO
2018,2,RS,RS,RIO GRANDE DO SUL,3,GOVERNADOR,45,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,EDUARDO LEITE,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,RIO GRANDE DA GENTE,PSDB / PTB / PRB / PPS / PHS / REDE / PP,ELEITO
2018,2,SC,SC,SANTA CATARINA,3,GOVERNADOR,17,CARLOS MOISÉS DA SILVA,COMANDANTE MOISÉS,PARTIDO ISOLADO,17,PSL,PARTIDO SOCIAL LIBERAL,NA,NA,NA,PARTIDO ISOLADO,PSL,ELEITO
2018,2,SE,SE,SERGIPE,3,GOVERNADOR,55,BELIVALDO CHAGAS SILVA,BELIVALDO,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,NA,NA,NA,PRA SERGIPE AVANÇAR,PP / MDB / DC / PC do B / PSD / PT / PHS,ELEITO
2018,2,SP,SP,SÃO PAULO,3,GOVERNADOR,45,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,JOÃO DORIA,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NA,NA,NA,AceleraSP,PSDB / DEM / PSD / PRB / PP / PTC,ELEITO
2018,1,TO,TO,TOCANTINS,3,GOVERNADOR,31,MAURO CARLESSE,MAURO CARLESSE,COLIGAÇÃO,31,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,NA,NA,NA,GOVERNO DE ATITUDE,PHS / SOLIDARIEDADE / PP / DEM / PTC / PRB / AVANTE / PATRIOTA / PROS,ELEITO
